id,location_id,name,title,email,department
1,1,Susan Houston,Director of Services,shouston1@mail.com,
2,1,Christina Gonzalez,Director,cgonzalez@mail.com,
3,2,Brenda Brown,"Director, Second Career Services",bbrown@mail.com,
4,3,Howard Lader,"Manager, Senior Counseling",hlader@mail.com,
5,4,Kimberly Pesavento,Commercial director,kpesavento@mail.com,
6,5,Joe Bloom,Financial Empowerment Programs Program Director,jbloom@mail.com,
7,6,Peter Olson,Director,polson@mail.com,
8,6,Bart Charlow,Executive Director,bcharlow6@mail.com,
9,7,Bart Charlow,Executive Director,bcharlow7@mail.com,
10,7,Barbara Kalt,Director,bkalt@mail.com,
11,8,Marilyn Baker-Venturini,Director,mbaker-venturini@mail.com,
12,8,Graciela Hernandez,Assistant Manager,ghernandez@mail.com,
13,8,Julie Avelino,Assessment Specialist,javelino@mail.com,
14,9,Dave Genesy,Library Director,dgenesy9@mail.com,
15,9,Maria Kramer,Library Divisions Manager,mkramer9@mail.com,
16,10,Dave Genesy,Tester,dgenesy10@mail.com,
17,10,Maria Kramer,Library Division Manager,mkramer10@mail.com,
18,11,Dave Genesy,Head of office,dgenesy11@mail.com,
19,11,Elizabeth Meeks,Branch Manager,emeeks11@mail.com,
20,12,Kathy Endaya,Director,kendaya@mail.com,
21,13,Dave Genesy,Library Director,dgenesy13@mail.com,
22,14,Andres Espinoza,"Manager, Commanding Officer",aespinoza@mail.com,
23,15,Jack Phillips,Administrator,jphillips@mail.com,
24,16,James Lee,Commanding Officer,jlee@mail.com,
25,17,Kenneth Gibson,Tester,kgibson@mail.com,
26,18,Sharon Petersen,Administrator,spetersen18@mail.com,
27,19,Sharon Petersen,Administrator,spetersen19@mail.com,
28,21,Moncef Salah,Tester,msalah@mail.com,Office of Innovation
29,22,Suzanne Badenhoop,Tester,sbadenhoop@mail.com,Referrals
30,20,Sean Houston,Director of new Services,shouston20@mail.com,
31,8,David Genesy,Account Manager,dgenesy8@mail.com,
32,8,Elizabeth Feeney,CEO,efeeney@mail.com,Operations
33,8,Erika Meeks,Tester,emeeks8@mail.com,Operations
